SampleID,LAP,MMT,CMC,CNF,SLK,AGR,ALG,CAR,CHS,PEC,PUL,STA,GEL,GLU,ZIN,GLY,FFA,LAC,LEV,PHA,SRB,SUA,XYL,Detachability,FlatnessUni,Feasibility,Detachability_STD,FlatnessUni_STD,Feasibility_STD,Weight
aTS-0215,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8631,0.0793,0.0,0.0276,0.0,0.0,0.0,0.0,0.015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0216,0.4242,0.0,0.0,0.0,0.0,0.044,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4894,0.0,0.0,0.0274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4283,0.0603,0.0,0.0,0.0,0.0218,0.4462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0434,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0218,0.0503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4138,0.0,0.0774,0.029,0.0,0.0,0.0,0.0,0.4295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0219,0.0,0.0,0.0,0.0,0.0,0.411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0376,0.0,0.0,0.2907,0.2457,0.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-021A,0.0,0.0,0.0,0.0,0.0,0.0,0.3037,0.0,0.0,0.0,0.0,0.0,0.4974,0.0,0.0,0.1129,0.0,0.044,0.0,0.042,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-021B,0.0,0.0,0.0299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.3209,0.0,0.0,0.0,0.1819,0.4523,0.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-021C,0.2907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.3246,0.0308,0.0,0.0,0.3279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-021D,0.0,0.0,0.015,0.0,0.0,0.0,0.0407,0.7265,0.0,0.0,0.0,0.0,0.0,0.0,0.1036,0.0,0.0,0.1141,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-021E,0.0,0.3578,0.0,0.0,0.0,0.0,0.0,0.0,0.0588,0.0,0.0,0.0,0.0,0.4306,0.023,0.1299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
