SampleID,DataSource,BatchNum,LAP,MMT,CMC,CNF,SLK,AGR,ALG,CAR,CHS,PEC,PUL,STA,GEL,GLU,ZIN,GLY,FFA,LAC,LEV,PHA,SRB,SUA,XYL,TensileStress,TensileStress_STD,TensileStrain,TensileStrain_STD,TensileModulusLog10,TensileModulusLog10_STD,TensileToughnessMean100n90,TensileToughnessMean100n90_STD,TensileThickness,TensileThickness_STD,TransVis,TransVis_STD,TransIR,TransIR_STD,TransUV,TransUV_STD
aTS-010D,8396928,1,0.0,0.3824,0.0,0.0,0.015,0.0,0.0,0.015,0.0,0.0,0.2736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.26,8.494339291551757,0.73,0.2416609194718914,4.112424265125898,0.0776901879563211,0.2406587909730827,0.1644572631605353,28.666666666666664,1.8856180831641267,66.53333333333333,1.866071333637122,71.5,1.7048949136725886,29.63333333333333,1.0530379332620872
aTS-010E,8396928,1,0.3109,0.0,0.0,0.0,0.0,0.0,0.0,0.3401,0.0,0.0,0.0,0.0,0.015,0.0,0.0195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19,2.5648781647477916,0.3633333333333333,0.0385861230093007,3.328571944813928,0.3234710674060451,0.0069714273961469,0.0041772112003983,35.333333333333336,1.885618083164125,78.0,1.5895492023421836,79.63333333333333,1.2119772641798556,47.166666666666664,1.2229290885229425
aTS-010F,8396928,1,0.0,0.4145,0.0,0.0,0.0,0.0,0.0,0.1233,0.0,0.0,0.0,0.0,0.0,0.0,0.3846,0.0,0.0,0.0,0.0294,0.0,0.0,0.0,0.0,3.24,3.23,0.665,0.125,3.557466399112939,0.2481242175551985,0.0109670388539726,0.0109645621626538,80.0,0.0,9.633333333333333,0.9877021593352704,41.0,8.180871999161619,5.433333333333337,2.875567576825292
aTS-0110,8396928,1,0.0471,0.0,0.2823,0.0,0.0,0.0,0.3294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,4.101154309053327,7.3066666666666675,4.881777909282187,2.7235992329480467,0.0779176175940719,0.6428565500868744,0.6225027657661852,47.66666666666667,21.54581681492308,76.17999999999999,2.555673427233357,79.3,0.9416297927883688,59.900000000000006,1.930457631409366
aTS-0112,8396928,1,0.0,0.0,0.0,0.0243,0.0,0.0,0.0,0.0,0.0292,0.0,0.0,0.0,0.3759,0.0,0.4166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25,2.11,0.655,0.155,3.4209807432948076,0.0091241084826729,0.0276596705411587,0.0144802100830409,86.0,10.000000000000002,51.36666666666667,6.078559770939894,52.23333333333333,10.261362266071476,24.46666666666667,5.797317387282573
aTS-0114,8396928,1,0.0379,0.0,0.0,0.4196,0.0,0.0673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,10.353333333333332,1.2728533126623651,1.04,0.3086529874578677,3.3723878308094615,0.0670853023550659,0.0697980994802133,0.0286820772477927,40.0,7.0710678118654755,68.5,0.5715476066494105,62.4,2.140093455903267,35.3,10.17152889196113
aTS-0115,8396928,1,0.0,0.0,0.0,0.0327,0.0,0.0,0.0,0.4002,0.1591,0.0,0.0,0.0,0.3908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.609999999999999,0.6999999999999997,0.525,0.145,3.309635072858384,0.0371336080080673,0.0082892504737749,0.0012241247960512,103.0,4.999999999999997,45.8,2.141650453894536,45.833333333333336,0.4714045207910317,21.799999999999997,0.4966554808583803
aTS-0116,8396928,1,0.0,0.0,0.0575,0.3431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.2455,0.0,0.0,0.0,0.0,0.0,0.0,7.223333333333334,0.6333684200807262,1.2233333333333334,0.1297005097222915,3.187230914983203,0.0087300300070394,0.0633424470309202,0.0045695555645927,52.0,0.0,44.9,0.5354126134736356,40.3,0.4242640687119278,21.233333333333334,1.4079141387961878
aTS-0117,8396928,1,0.0,0.0,0.5033,0.0,0.0,0.0,0.02,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4467,0.0,0.0,0.0,0.0,0.0,9.313333333333334,4.868910441658267,1.9633333333333336,0.5634615238761995,2.921012134544474,0.2034143111995904,0.1151258628944649,0.0703131235932401,44.333333333333336,1.8856180831641285,79.43333333333334,0.6599663291074422,80.36666666666667,0.4496912521077344,64.76666666666667,1.960158723731888
aTS-0119,8396928,1,0.0,0.0,0.0,0.0,0.2072,0.239,0.0,0.0,0.0,0.0,0.2175,0.0,0.0,0.0,0.0834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5933333333333333,1.079392833443362,5.496666666666667,2.0609760363046976,2.4435580750258037,0.1799327437610836,0.1160703460623469,0.0421329022029366,66.66666666666667,18.856180831641268,56.13333333333333,0.4496912521077344,55.666666666666664,0.8013876853447519,26.83333333333333,0.449691252107733
aTS-011A,8396928,1,0.0,0.2426,0.3483,0.0,0.0,0.3243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.45666666666667,11.886845203370358,0.6,0.139522996909709,3.957950279584672,0.1048415404217374,0.1283918977514307,0.0740609934303326,41.333333333333336,7.039570693980959,70.73333333333333,0.4027681991198161,69.73333333333333,0.6342099196813484,41.4,1.373559851869102
