SampleID,LAP,MMT,CMC,CNF,SLK,AGR,ALG,CAR,CHS,PEC,PUL,STA,GEL,GLU,ZIN,GLY,FFA,LAC,LEV,PHA,SRB,SUA,XYL,Feasibility,TransVis,TensileStrength,TensileSED,FireRR
aTH-0205,0.174,0.0,0.0,0.0,0.2075,0.0,0.0,0.0,0.0,0.0,0.157,0.0,0.2784,0.0,0.0,0.0,0.0,0.0,0.0,0.183,0.0,0.0,0.0,False,,,,
aTH-0206,0.0503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4138,0.0,0.0774,0.029,0.0,0.0,0.0,0.0,0.4295,0.0,False,,,,
aTH-0207,0.0,0.0,0.0,0.1955,0.0,0.0,0.0,0.0669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2135,0.0,0.216,0.0,0.0,0.0,0.308,True,,,,
aTH-0208,0.0498,0.0,0.0,0.5537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.216,0.1806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,
aTH-0209,0.0,0.1697,0.1885,0.1087,0.0,0.0,0.0,0.0,0.0,0.0,0.284,0.0,0.249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,
aTH-0210,0.0,0.1179,0.3535,0.2425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1097,0.0,0.0,0.1764,0.0,True,72.23,30.467,1.618,
aTH-0211,0.3569,0.0,0.0,0.0,0.0624,0.2846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2961,0.0,False,,,,
aTH-0212,0.0664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.581,0.0,0.0,0.0,0.0317,0.0,0.0,0.0,0.0,0.0,0.0487,0.0,0.0,0.0,0.2721,True,73.83,30.677,1.14,0.228
aTH-0213,0.0485,0.0,0.4814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2789,0.0,0.0,0.0,0.0,0.0,0.0485,0.1426,0.0,0.0,0.0,0.0,0.0,True,,,,
aTH-0214,0.0,0.0,0.0,0.2238,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.1293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2209,0.093,True,,,,
aTH-0215,0.0,0.0,0.0,0.0,0.074,0.1473,0.0,0.0,0.3354,0.0,0.0,0.0,0.0,0.3071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1361,True,,,,
aTH-0216,0.1219,0.0,0.1674,0.0,0.0,0.0,0.2509,0.0,0.0,0.0,0.2159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2439,0.0,0.0,0.0,False,,,,
aTH-0217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3205,0.1626,0.0,0.0,0.2449,0.0,0.0,0.088,0.0,0.1839,False,,,,
aTH-0218,0.0,0.1206,0.0,0.0,0.0,0.0,0.2375,0.1813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2405,0.22,0.0,0.0,0.0,0.0,0.0,True,,,,
aTH-0219,0.0,0.185,0.0515,0.0,0.0,0.0,0.0,0.1328,0.0,0.0,0.0,0.0,0.0,0.0,0.0967,0.0,0.0,0.534,0.0,0.0,0.0,0.0,0.0,False,,,,
aTH-0220,0.0,0.0871,0.2325,0.0,0.0,0.0,0.2995,0.0,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.314,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,
aTH-0221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2768,0.2501,0.2346,0.0,0.0,0.0,0.0,0.0,0.157,0.0,0.0815,0.0,0.0,0.0,0.0,False,,,,
aTH-0222,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1743,0.0,0.4051,0.0,0.0,0.0,0.0,0.0,0.0,0.3426,0.0,0.0,0.063,False,,,,
aTH-0223,0.0,0.0,0.0,0.0,0.0,0.2358,0.2341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1904,0.0,0.1966,0.0,0.0,0.0,0.0,0.1431,0.0,False,,,,
aTH-0224,0.0,0.1441,0.2719,0.3854,0.0,0.0,0.0,0.0,0.0,0.0981,0.0,0.0,0.1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,72.8,22.19,0.055,0.201
aTH-0225,0.062,0.0,0.0,0.1455,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7035,False,,,,
aTH-0226,0.0,0.0,0.015,0.3178,0.0,0.0,0.0,0.361,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2911,True,37.87,38.357,0.52,
aTH-0227,0.0,0.0,0.0,0.2012,0.0,0.1131,0.3221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3635,0.0,0.0,0.0,False,,,,
aTH-0228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0267,0.3947,0.0,0.0,0.0,0.0,0.3342,0.0,0.0,0.0,0.2445,0.0,0.0,0.0,0.0,0.0,True,,,,
aTH-0229,0.0,0.0,0.2708,0.2964,0.0,0.0,0.0904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3054,0.0,0.037,0.0,0.0,0.0,0.0,0.0,True,79.1,22.17,9.244,0.004
aTH-0230,0.0,0.0,0.0,0.0,0.3325,0.0,0.0965,0.0,0.0,0.0,0.0,0.0,0.132,0.0,0.0,0.0,0.1435,0.0,0.2955,0.0,0.0,0.0,0.0,False,,,,
aTH-0231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5159,0.0809,0.0,0.0,0.1619,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,0.0,0.1983,True,80.33,15.585,3.385,0.005
aTH-0232,0.3359,0.0,0.0,0.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0721,0.0,0.0,0.0,0.049,0.0,0.2702,0.0,0.0,0.0,False,,,,
aTH-0233,0.3137,0.0,0.0,0.0,0.0,0.0,0.0,0.2708,0.0,0.0,0.0,0.0,0.1808,0.0,0.0,0.1641,0.0,0.0,0.0,0.0705,0.0,0.0,0.0,False,,,,
aTH-0234,0.0,0.0,0.3639,0.1909,0.0,0.0,0.0,0.1883,0.0,0.0,0.0,0.0,0.0,0.0,0.1164,0.1404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,45.07,34.923,3.071,0.003
aTH-0235,0.0,0.3866,0.3083,0.1576,0.0,0.0709,0.0,0.0766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,62.4,61.467,0.604,0.826
aTH-0236,0.1937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3529,0.0,0.0,0.0,0.1187,0.0,0.0,0.0,0.0,0.0,0.3347,False,,,,
aTH-0237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4849,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0681,0.0859,0.0,0.0,0.0,0.0,0.1911,True,79.2,19.645,2.734,0.005
aTH-0238,0.0,0.5346,0.0,0.1568,0.0,0.0,0.2182,0.0557,0.0,0.0,0.0,0.0,0.0,0.0346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,
aTH-0239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4243,0.0,0.0,0.1723,0.0,0.3203,0.0831,0.0,0.0,0.0,0.0,False,,,,
aTH-0240,0.0,0.0,0.0,0.0,0.169,0.2033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2291,0.0,0.2436,0.0,0.0,0.0,0.155,0.0,False,,,,
aTH-0241,0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1805,0.0,0.0,0.0,0.5635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088,False,,,,
aTH-0242,0.0,0.0,0.0,0.0,0.2445,0.2645,0.0,0.0,0.133,0.0,0.1455,0.0,0.2124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,
aTH-0243,0.0,0.1784,0.0,0.0,0.0,0.0,0.0,0.1186,0.0244,0.0,0.3733,0.0,0.0,0.0,0.0,0.0,0.0,0.3054,0.0,0.0,0.0,0.0,0.0,True,63.6,6.595,0.011,0.936
aTH-0244,0.0,0.1491,0.0,0.2172,0.2823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3024,0.0,0.0489,0.0,0.0,0.0,0.0,False,,,,
aTH-0245,0.0,0.187,0.0,0.0,0.0,0.0,0.0,0.1664,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2495,0.0,0.254,True,,,,
aTH-0246,0.0,0.2725,0.0,0.0,0.0,0.346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1642,0.2173,False,,,,
aTH-0247,0.0,0.1009,0.0,0.0,0.0,0.0,0.0,0.0263,0.0,0.0,0.0,0.0,0.0,0.0,0.1729,0.0,0.0,0.0,0.3467,0.0,0.0,0.0,0.3531,False,,,,
aTH-0248,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.0,0.0,0.0585,0.0,0.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2235,0.255,0.0,False,,,,
