n_points,n_noise,noise_frac,n_clusters,silhouette,eps,min_samples,algorithm,ARI_vs_baseline,NMI_vs_baseline
95815,94103,0.9821322339925899,174,0.4531360127037227,0.15,5,DBSCAN,0.09840938626341758,0.07072365968582414
95815,95437,0.9960548974586443,19,0.6582642940559208,0.15,10,DBSCAN,0.38648777569175286,0.3195482392596884
95815,95674,0.998528414131399,3,0.6911873643381186,0.15,15,DBSCAN,0.7839342696703163,0.7102991932138232
95815,95724,0.9990502530918959,2,0.468835148105762,0.15,20,DBSCAN,1.0,1.0
95815,95736,0.999175494442415,2,0.5000277105415698,0.15,25,DBSCAN,0.9292771735403594,0.9001380353533258
95815,95748,0.9993007357929343,2,0.5231431009654995,0.15,30,DBSCAN,0.8478452522737294,0.7931804321528212
95815,92421,0.9645775713614778,275,0.3008647922034389,0.175,5,DBSCAN,0.049493468138877804,0.03441214555347465
95815,94820,0.9896154046861139,37,0.4663599027866701,0.175,10,DBSCAN,0.1651910817220409,0.12357689625757791
95815,95355,0.9951990815634295,13,0.5899929860732491,0.175,15,DBSCAN,0.3284771816366289,0.2652686196969221
95815,95618,0.9979439544956427,2,0.9243486079136931,0.175,20,DBSCAN,0.6308890444261995,0.5428279401875544
95815,95639,0.9981631268590513,2,0.9283008313985868,0.175,25,DBSCAN,0.6807239916105513,0.5885412713682687
95815,95653,0.9983092417679904,2,0.92940025696842,0.175,30,DBSCAN,0.7185392186597512,0.6237975761854988
95815,90066,0.939998956322079,413,0.17532220861593872,0.2,5,DBSCAN,0.02818911554498977,0.01682812214959308
95815,93632,0.9772165109847101,60,0.2747313811972363,0.2,10,DBSCAN,0.07730124453970354,0.05596563980805512
95815,94746,0.9888430830245786,23,0.5237721233993053,0.2,15,DBSCAN,0.15440849304602017,0.11613211409107799
95815,95251,0.9941136565255962,9,0.6416604569575127,0.2,20,DBSCAN,0.2757591135512015,0.21903184659260372
95815,95457,0.9962636330428429,4,0.6814984442861776,0.2,25,DBSCAN,0.4035973667800833,0.33098256259243863
95815,95565,0.997390805197516,2,0.9178965167938691,0.2,30,DBSCAN,0.5322979836760959,0.4451933864063686
95815,87223,0.9103271930282315,540,0.061629540631057377,0.225,5,DBSCAN,0.017786115222860974,0.009853572417963958
95815,92124,0.9614778479361269,81,0.10203782639628266,0.225,10,DBSCAN,0.045088790370453546,0.02979279678882443
95815,93690,0.9778218441788864,31,0.4019950534880453,0.225,15,DBSCAN,0.07933819483820423,0.05829023569441306
95815,94328,0.9844805093148254,20,0.4503555489836576,0.225,20,DBSCAN,0.11267699959149,0.0852046513847985
95815,94915,0.9906068987110578,9,0.6670738599611783,0.225,25,DBSCAN,0.1812007673569367,0.14247293519084905
95815,95179,0.9933622084224808,7,0.6566470380091698,0.225,30,DBSCAN,0.24805670148440126,0.1947447983687671
95815,84288,0.8796952460470698,628,0.03690184877218964,0.25,5,DBSCAN,0.012481079900585126,0.007066039755639059
95815,90240,0.9418149559046078,109,0.03485143962782067,0.25,10,DBSCAN,0.029007178084546895,0.018991483109974037
95815,92209,0.9623649741689715,41,0.12776279117135578,0.25,15,DBSCAN,0.04614484019880749,0.03197478060998966
95815,93337,0.9741376611177791,20,0.45856438208642897,0.25,20,DBSCAN,0.06798460623919494,0.05077590944391082
95815,94001,0.9810676825131764,17,0.48940904007100855,0.25,25,DBSCAN,0.09279015757996219,0.07038665519105725
95815,94372,0.9849397276000627,12,0.6060882381543369,0.25,30,DBSCAN,0.11594456250065768,0.0887878754400986
95815,80998,0.845358242446381,732,-0.0241670193565648,0.275,5,DBSCAN,0.009018973262221277,0.0053559271682338755
95815,88023,0.9186766163961801,132,-0.028717395943268175,0.275,10,DBSCAN,0.01977714208518739,0.01221481699191508
95815,90603,0.9456035067578146,52,0.08387721044951225,0.275,15,DBSCAN,0.03116270997630265,0.0213328295364267
95815,91934,0.9594948598862391,29,0.18767721062309795,0.275,20,DBSCAN,0.04271484478022719,0.030230077747170264
95815,92815,0.9686896623701926,17,0.4185598090932869,0.275,25,DBSCAN,0.056000180937586,0.043269815525245045
95815,93460,0.9754213849606012,19,0.45702480596658723,0.275,30,DBSCAN,0.07155041207127999,0.05331492894421864
95815,77583,0.8097166414444502,847,-0.015936230926759085,0.3,5,DBSCAN,0.006741632701481885,0.004159805870942548
